"","dataset_id","sub_site","site","region","year","month","day","reported_taxa","abundance","unit","X","country","latitude","longitude"
"1",68,NA,10,"Snowy Range, Wyoming",1997,NA,NA,"Puma concolor",58,"Relative abundance",1,"United States",41.3222487,-106.172769
"2",68,NA,10,"Snowy Range, Wyoming",1998,NA,NA,"Puma concolor",39,"Relative abundance",1,"United States",41.3222487,-106.172769
"3",68,NA,10,"Snowy Range, Wyoming",1999,NA,NA,"Puma concolor",34,"Relative abundance",1,"United States",41.3222487,-106.172769
"4",68,NA,10,"Snowy Range, Wyoming",2000,NA,NA,"Puma concolor",37,"Relative abundance",1,"United States",41.3222487,-106.172769
"5",68,NA,10,"Snowy Range, Wyoming",2001,NA,NA,"Puma concolor",59,"Relative abundance",1,"United States",41.3222487,-106.172769
"6",68,NA,13,"Finland",1865,NA,NA,"Ursus arctos",901.3,"Relative abundance",2,"Finland",63.9102958,25.0120168
"7",68,NA,13,"Finland",1875,NA,NA,"Ursus arctos",956.9,"Relative abundance",2,"Finland",63.9102958,25.0120168
"8",68,NA,19,"Finland",1876,NA,NA,"Ursus arctos",956.9,"Relative abundance",3,"Finland",63.9102958,25.0120168
"9",68,NA,19,"Finland",1886,NA,NA,"Ursus arctos",747,"Relative abundance",3,"Finland",63.9102958,25.0120168
"10",68,NA,19,"Finland",1896,NA,NA,"Ursus arctos",537,"Relative abundance",3,"Finland",63.9102958,25.0120168
"11",68,NA,19,"Finland",1906,NA,NA,"Ursus arctos",327,"Relative abundance",3,"Finland",63.9102958,25.0120168
"12",68,NA,20,"Finland",1905,NA,NA,"Ursus arctos",327,"Relative abundance",4,"Finland",63.9102958,25.0120168
"13",68,NA,20,"Finland",1915,NA,NA,"Ursus arctos",129,"Relative abundance",4,"Finland",63.9102958,25.0120168
"14",68,NA,979,"Hluhluwe",1983,NA,NA,"Panthera leo",17,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
"15",68,NA,979,"Hluhluwe",1984,NA,NA,"Panthera leo",20,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
"16",68,NA,979,"Hluhluwe",1985,NA,NA,"Panthera leo",23,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
"17",68,NA,979,"Hluhluwe",1986,NA,NA,"Panthera leo",20,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
"18",68,NA,979,"Hluhluwe",1987,NA,NA,"Panthera leo",20,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
"19",68,NA,979,"Hluhluwe",1988,NA,NA,"Panthera leo",20,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
"20",68,NA,979,"Hluhluwe",1989,NA,NA,"Panthera leo",20,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
"21",68,NA,979,"Hluhluwe",1990,NA,NA,"Panthera leo",0,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
"22",68,NA,979,"Hluhluwe",1991,NA,NA,"Panthera leo",2,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
"23",68,NA,979,"Hluhluwe",1992,NA,NA,"Panthera leo",7,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
"24",68,NA,979,"Hluhluwe",1993,NA,NA,"Panthera leo",11,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
"25",68,NA,979,"Hluhluwe",1994,NA,NA,"Panthera leo",16,"Relative abundance",17,"South Africa",-28.21666667,32.26666667
